Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
319,MAR 11,156.550000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
320,MAR 12,156.600000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
321,MAR 13,156.650000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
322,MAR 14,156.700000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
323,MAR 15,156.750000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
324,MAR 16,156.800000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,Marine Calling & Emergency Channel,,,,
325,MAR 17,156.850000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
326,MAR18P,161.500000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
327,MAR18E,156.900000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
328,MAR19P,161.550000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
329,MAR19E,156.950000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
330,MAR20P,161.600000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
331,MAR20E,157.000000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
332,MAR21P,161.650000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
333,MAR21E,157.050000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
334,MAR22P,161.700000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
335,MAR22E,157.100000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
336,MAR23P,161.750000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
337,MAR23E,157.150000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
338,MAR24P,161.800000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
339,MAR24E,157.200000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
340,MAR25P,161.850000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
341,MAR25E,157.250000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
342,MAR26P,161.900000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
343,MAR26E,157.300000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
344,MAR27P,161.950000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
345,MAR27E,157.350000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
346,MAR28P,162.000000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
347,MAR28E,157.400000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
348,MAR31P,162.150000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
349,MAR31E,157.550000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
350,MAR 37,157.850000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
351,MAR60P,160.625000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
352,MAR60E,156.025000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
353,MAR61P,160.675000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
354,MAR61E,156.075000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
355,MAR62P,160.725000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
356,MAR62E,156.125000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
357,MAR63P,160.775000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
358,MAR63E,156.175000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
359,MAR64P,160.825000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
360,MAR64E,156.225000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
361,MAR65P,160.875000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
362,MAR65E,156.275000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
363,MAR66P,160.925000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
364,MAR66E,156.325000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
365,MAR 67,156.375000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
366,MAR 68,156.425000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
367,MAR 69,156.475000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
368,MAR 71,156.575000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
369,MAR 72,156.625000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
370,MAR 73,156.675000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
371,MAR 74,156.725000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
372,MAR 77,156.875000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
373,MAR78P,161.525000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
374,MAR78E,156.925000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
375,MAR79P,161.575000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
376,MAR79E,156.975000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
377,MAR80P,161.625000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
378,MAR80E,157.025000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
379,MAR81P,161.675000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
380,MAR81E,157.075000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
381,MAR82P,161.725000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
382,MAR82E,157.125000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
383,MAR83P,161.775000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
384,MAR83E,157.175000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
385,MAR84P,161.825000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
386,MAR84E,157.225000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
387,MAR85P,161.875000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
388,MAR85E,157.275000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
389,MAR86P,161.925000,-,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
390,MAR86E,157.325000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
391,MAR M2,161.425000,+,4.600000,,88.5,88.5,023,NN,NFM,25.00,S,,,,,
401,BOHAPP,119.470000,,0.000000,,88.5,88.5,023,NN,AM,10.00,,Bournemouth Airport Approach,,,,
402,BOHATS,133.720000,,0.000000,,88.5,88.5,023,NN,AM,10.00,S,Bournemouth Airport Air Traffic Service,,,,
403,BOH GC,121.700000,,0.000000,,88.5,88.5,023,NN,AM,10.00,,Bournemouth Airport Ground Control,,,,
404,BOH R1,118.650000,,0.000000,,88.5,88.5,023,NN,AM,10.00,,Bournemouth Airport Radar 1,,,,
405,BOH R2,119.470000,,0.000000,,88.5,88.5,023,NN,AM,10.00,,Bournemouth Airport Radar 2 (Main),,,,
406,BOHTWR,125.600000,,0.000000,,88.5,88.5,023,NN,AM,10.00,,Bournemouth Airport Tower,,,,
407,BAFDSP,130.680000,,0.000000,,88.5,88.5,023,NN,AM,10.00,,Bournemouth Air Festival Display Frequency (2021),,,,
